words	L1-diagonal-law	6974
words	L2-ternary-spine	4123
words	L3-lambda-bounds	5817
words	L4-not-dfinite	4332
words	L5-convex-king-animals	8192
words	L6-perimeter-gradings	5320
sha	paper/technical-report.tex	e0fa19496f11116ea979602e573d74496a4d4509fdf8d21ed97d31eb036c1a66
sha	paper/polyplets-report.tex	1323342746fe53e5b6421a07a363c3121300c970dfc43cffd6661837937e5130
sha	paper/shared/disclosure.tex	efadb814ad936b79f8ac43f69e48bc8e35b4e3349caf8b1fcdb38080c1656e98
sha	paper/shared/preamble.tex	c2e19168a835ce87f56790d5a24b5afb6ce4ac76ea5d376ab56f5e5cf3804c8d
sha	paper/shared/refs.bib	21b8966b6aee5cc9ab3c6877fa47cbbccbcbe923ba0f19df8ce541617314e6ea
sha	paper/verify_l_papers.py	d03190d4ac565dbbe5200ac4f58e6a68c52388eee400a7b2ab72d814c820764d
cites	L1-diagonal-law	a308359 barequetBarequetRote2010 barequetShalah2017 madras1999 mathlib 
cites	L2-ternary-spine	allouche2003 christol1980 oeis polya1915 
cites	L3-lambda-bounds	bacher2015 barequetRoteShalah2016 bbo2021 bui2025 klarnerRivest1973 mathlib 
cites	L4-not-dfinite	bbo2021 bgkl2008 bhs2020 bmr2002 bnz2020 chanRechnitzer2018 fatou1906 klazar2003 kronecker1857 northcott1949 rechnitzer2003 rechnitzer2006 
cites	L5-convex-king-animals	bender1974 delestViennot1984 gblRoux2004 hardyRamanujan1918 kreinRutman1948 lrr1998 temperley1956 
cites	L6-perimeter-gradings	abmz2022 andrews1984 
